OBJECTID_1,Site_Name,Designation_Type,Link_to_CA,Link_to_GMA,Traffic_Light_Colour_using_80__,Notes,Number_of_Marine_Components,Perc_in_Fav_or_Unfav_Recover,GEOGRAPHIC_LOCATION,Country,EST_DATE,STATUS,SITE_CODE,LEAD,Features,Feature_Designation_Dates,Feature_Management_Approaches,Feature_Conditions,Feature_Favourable,Feature_Unfavourable_Recovering,Feature_Unfavourable_No_Change,Feature_Unfavourable_Declining,Feature_Partially_Destroyed,Feature_Destroyed,Feature_Not_Assessed
86,South-West Deeps (East) ,MCZ,https://data.jncc.gov.uk/data/9f932d1f-190d-40da-a032-84e8c685df00/SouthWestDeepsEast-ConservationStatements-V1.0.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915707/mcz-south-west-deeps-east-2019.pdf,Mixed_Picture,,4,0.25,,England,,Designated,,,Celtic Sea relict sandbanks; Deep-sea bed; Subtidal coarse sediment; Subtidal sand,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition,Y; Y; Y; Y,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -
87,South of the Isles of Scilly ,MCZ,https://jncc.gov.uk/our-work/southern-north-sea-mpa/ ,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915697/mcz-south-scilly-2019.pdf,Degraded/Degrading,,3,,,England,,Designated,,,Fan mussel (Atrina fragilis); Subtidal coarse sediment/ subtidal mixed sediments mosaic habitat; Subtidal sand,31/05/2019; 31/05/2019; 31/05/2019,Recover to favourable condition; Recover to favourable condition; Recover to favourable condition,N; N; N,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -
88,West of Wight Barfleur ,MCZ,https://data.jncc.gov.uk/data/fe2399b2-ea2e-40ed-be59-71f98a7a488f/WestofWightBarfleur-ConservationStatements-V1.0.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915468/mcz-west-wight-barfleur-2019.pdf,Degraded/Degrading,,2,,,England,,Designated,,,Subtidal coarse sediment; Subtidal mixed sediments,31/05/2019; 31/05/2019,Recover to favourable condition; Recover to favourable condition,Y; Y,-; -,-; -,-; -,-; -,-; -,-; -,-; -
89,East of Start Point ,MCZ,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915281/mcz-east-start-point-2019.pdf,Degraded/Degrading,,1,,,England,,Designated,,,Subtidal sand,31/05/2019,Recover to favourable condition,N,-,-,-,-,-,-,-
90,Inner Bank ,MCZ,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915294/mcz-inner-bank-2019.pdf,Degraded/Degrading,,3,,,England,,Designated,,,Subtidal coarse sediment; Subtidal mixed sediments; Subtidal sand,31/05/2019; 31/05/2019; 31/05/2019,Recover to favourable condition; Recover to favourable condition; Recover to favourable condition,N; N; N,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -
91,South of Celtic Deep ,MCZ,https://data.jncc.gov.uk/data/136727b6-5fb7-4a08-94bc-b6de37aecb19/SouthOfCelticDeep-ConservationStatements-V1.0.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/914219/mcz-south-celtic-deep-2019.pdf,Mixed_Picture,,4,0.25,,England,,Designated,,,Moderate energy circalittoral rock; Subtidal coarse sediment; Subtidal mixed sediments; Subtidal sand,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition,Y; Y; Y; Y,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -
92,South West Approaches to the Bristol Channel ,MCZ,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/921974/mcz-south-west-bristol-channel-2019.pdf,Degraded/Degrading,,2,,,England,,Designated,,,Subtidal coarse sediment; Subtidal sand,31/05/2019; 31/05/2019,Recover to favourable condition; Recover to favourable condition,N; N,-; -,-; -,-; -,-; -,-; -,-; -,-; -
93,Queenie Corner ,MCZ,https://data.jncc.gov.uk/data/13cfc298-e1bf-4576-a2d5-28d9361b0eff/QueenieCorner-ConservationStatements-V1.0.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915668/mcz-queenie-corner-2019.pdf,Degraded/Degrading,,2,,,Northern_Ireland,,Designated,,,Sea-pen and burrowing megafauna communites; Subtidal mud,31/05/2019; 31/05/2019,Recover to favourable condition; Recover to favourable condition,Y; Y,-; -,-; -,-; -,-; -,-; -,-; -,-; -
94,Markham's Triangle,MCZ,https://data.jncc.gov.uk/data/4825d9bf-cf27-4d90-85bc-563d2ae5e5f5/MarkhamsTriangle-ConservationStatements-v1.0.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915635/mcz-markhams-triangle-2019.pdf,Degraded/Degrading,,4,,,England,,Designated,,,Subtidal coarse sediments; Subtidal mixed sediments; Subtidal mud; Subtidal sand,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition,Y; Y; Y; Y,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -
95,West of Copeland ,MCZ,https://data.jncc.gov.uk/data/9e5c91d0-9567-4daa-95f1-9c4b4028b55f/west-of-copeland-conservation-statements-v1.pdf,https://data.jncc.gov.uk/data/9e5c91d0-9567-4daa-95f1-9c4b4028b55f/west-of-copeland-conservation-statements-v1.pdf,Mixed_Picture,,3,0.333,,England,,Designated,,,Subtidal coarse sediment; Subtidal mixed sediments; Subtidal sand,31/05/2019; 31/05/2019; 31/05/2019,Recover to favourable condition; Maintain in favourable condition; Recover to favourable condition,Y; Y; Y,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -
96,South Rigg ,MCZ,https://data.jncc.gov.uk/data/d88c1cc9-63e4-4e1d-9ef6-aab93a65d70f/SouthRigg-ConservationStatements-V1.0.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915701/mcz-south-rigg-2019.pdf,Mixed_Picture,,6,0.3333,,Northern_Ireland,,Designated,,,Moderate energy circalittoral rock; Sea-pen and burrowing megafauna communites; Subtidal coarse sediment; Subtidal mixed sediments; Subtidal mud; Subtidal sand,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition; Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition,Y; Y; Y; Y; Y; Y,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -
97,North East of Haig Fras ,MCZ,https://data.jncc.gov.uk/data/e92c67dc-a3cb-4536-b2ab-d98a0b61f666/NorthEastofHaigFras-ConservationStatements-V1.0.pdf,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915258/mcz-north-east-haig-fras-2019.pdf,Degraded/Degrading,,3,,,England,,Designated,,,Subtidal coarse sediments; Subtidal mud; Subtidal sand,31/05/2019; 31/05/2019; 31/05/2019,Recover to favourable condition; Recover to favourable condition; Recover to favourable condition,Y; Y; Y,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -
98,Holderness Offshore ,MCZ, https://data.jncc.gov.uk/data/d439f5d1-5440-4547-84fb-8bd6ec970e44,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/805479/mcz-holderness-2019.pdf,Degraded/Degrading,,5,0.2,,England,,Designated,,,A5.1: Subtidal coarse sediment; A5.2: Subtidal sand; A5.4: Subtidal mixed sand; North Sea glacial tunnel valleys; Ocean quahog (Arctica islandica),31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Maintain in favourable condition; Recover to favourable condition,Y; Y; Y; Y; Y,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -,-; -; -; -; -
99,Berwick to St Mary's ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineSiteDetail.aspx?SiteCode=UKMCZ0055&SiteName=&SiteNameDisplay=Berwick%20to%20St%20Mary%27s%20MCZ&countyCode=,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/914355/mcz-berwick-st-marys-2019.pdf,Degraded/Degrading,,1,,,England,,Designated,,,Common eider (Somateria mollissima),31/05/2019,Recover to favourable condition,N,-,-,-,-,-,-,-
100,Dover to Deal ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UKMCZ0032&SiteName=dover&SiteNameDisplay=Dover+to+Deal+MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/914499/mcz-dover-deal-2019.pdf,Mixed_Picture,,16,,,England,,Designated,,,Blue mussel (Mytilus edulis) beds; High energy circalittoral rock; High energy intertidal rock; Intertidal coarse sediment; Intertidal sand and muddy sand; Intertidal underboulder communities; Littoral chalk communities; Low energy intertidal rock; Moderate energy circalittoral rock; Moderate energy infralittoral rock; Moderate energy intertidal rock; Native oyster (Ostrea edulis); Ross worm (Sabellaria spinulosa) reefs; Subtidal chalk; Subtidal sand; Subtidal mixed sediments,31/05/2019; 31/05/2019; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 31/05/2019; 29/01/2016; 29/01/2016; 29/01/2016; 31/05/2019; 29/01/2016; 29/01/2016; 29/01/2016,Recover to favourable condition; Recover to favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Recover to favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Recover to favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition,N; N; N; N; N; N; N; N; N; N; N; N; N; N; N; N,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
101,Kentish Knock East ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineSiteDetail.aspx?SiteCode=UKMCZ0080&SiteName=&SiteNameDisplay=Kentish%20Knock%20East%20MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=&NumMarineSeasonality=&HasCA=1  N,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/914728/mcz-kentish-knock-east-2019.pdf,Mixed_Picture,,3,,,England,,Designated,,,Subtidal coarse sediment; Subtidal mixed sediments; Subtidal sand,31/05/2019; 31/05/2019; 31/05/2019,Recover to favourable condition; Recover to favourable condition; Maintain in favourable condition,N; N; N,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -,-; -; -
102,Utopia ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UKMCZ0042&SiteName=utopia&SiteNameDisplay=Utopia+MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/492467/mcz-utopia-factsheet.pdf,Degraded/Degrading,,6,,,England,,Designated,,,Fragile sponge and anthozoan communities on subtidal rocky habitats; High energy circalittoral rock; Moderate energy circalittoral rock; Subtidal coarse sediments; Subtidal mixed sediments; Subtidal sand,29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016,Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition,N; N; N; N; N; N,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -
103,Goodwin Sands ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UKMCZ0061&SiteName=goodwin%20sands&SiteNameDisplay=Goodwin+Sands+MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/914643/mcz-goodwin-sands-2019.pdf,Mixed_Picture,,6,,,England,,Designated,,,Blue mussel (Mytilus edulis) beds; English Channel outburst flood features; Moderate energy circalittoral rock; Ross worm (Sabellaria spinulosa) reefs; Subtidal coarse sediment; Subtidal sand,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Recover to favourable condition; Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition; Maintain in favourable condition; Maintain in favourable condition,N; N; N; N; N; N,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -
104,Offshore Overfalls ,MCZ,https://jncc.gov.uk/our-work/offshore-overfalls-mpa/,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/492449/mcz-offshore-overfalls-factsheet.pdf,Mixed_Picture,,4,,,England,,Designated,,,English Channel outburst flood features (quaternary fluvio-glacial erosion features); Subtidal coarse sediment; Subtidal mixed sediments; Subtidal sand,29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016,Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition,N; N; N; N,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -
105,Cape Bank ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineSiteDetail.aspx?SiteCode=UKMCZ0076&SiteName=&SiteNameDisplay=Cape%20Bank%20MCZ&countyCode=&responsiblePerso,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/914359/mcz-cape-bank-2019.pdf,Degraded/Degrading,,2,,,England,,Designated,,,Moderate energy circalittoral rock; Subtidal coarse sediment,31/05/2019; 31/05/2019,Recover to favourable condition; Recover to favourable condition,N; N,-; -,-; -,-; -,-; -,-; -,-; -,-; -
106,Runnel Stone ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UKMCZ0038&SiteName=runne&SiteNameDisplay=Runnel+Stone+MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/492452/mcz-runnel-stone-factsheet.pdf,Condition_Unknown,"**This MPA was automatically categorised as Recovered/Recovering following our MPA Recovery Assessment Methodology, due to the General Management Approaches of all features being reported as maintain. However, we have changed this to Condition Unknown as, based on local knowledge, we do not believe there is enough information about the  the current conditon of the site to base a decision of the recovery categorisation on.",9,,,England,,Designated,,,High energy circalittoral rock; High energy infralittoral rock; High energy intertidal rock; Intertidal coarse sediment; Intertidal sand and muddy sand; Moderate energy circalittoral rock; Pink sea-fan (Eunicella verrucosa); Subtidal coarse sediment; Subtidal sand,29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016,Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition,N; N; N; N; N; N; N; N; N,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -
107,South of Portland ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UKMCZ0070&SiteName=&SiteNameDisplay=South+of+Portland+MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=   Natural England is currently ,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915689/mcz-south-portland-2019.pdf,Mixed_Picture,,6,,,England,,Designated,,,High enery circalittoral rock; Moderate energy circalittoral rock; Portland Deep geological feature; Subtidal coarse sediment; Subtidal mixed sediments; Subtidal sand,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Recover to favourable condition; Recover to favourable condition; Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition; Maintain in favourable condition,N; N; N; N; N; N,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -,-; -; -; -; -; -
108,Newquay and The Gannel ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UKMCZ0037&SiteName=newquay&SiteNameDisplay=Newquay+and+The+Gannel+MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/492387/mcz-newquay-gannel-factsheet.pdf,Condition_Unknown,"**This MPA was automatically categorised as Recovered/Recovering following our MPA Recovery Assessment Methodology, due to the General Management Approaches of all features being reported as maintain. However, we have changed this to Condition Unknown as, based on local knowledge, we do not believe there is enough information about  the current conditon of the site to base a decision of the recovery categorisation on.",15,,,England,,Designated,,,Coastal saltmarshes and saline reedbeds; Estuarine rocky habitats; Giant goby (Gobius cobitis); High energy circalittoral rock; High energy infralittoral rock; High energy intertidal rock; Intertidal coarse sediment; Intertidal mixed sediment; Intertidal mud; Intertidal sand and muddy sand; Low energy intertidal rock; Moderate energy infralittoral rock; Moderate energy intertidal rock; Subtidal coarse sediment; Subtidal sand,29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016,Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition,N; N; N; N; N; N; N; N; N; N; N; N; N; N; N,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -
109,Yarmouth to Cowes ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineSiteDetail.aspx?SiteCode=UKMCZ0075&SiteName=&SiteNameDisplay=Yarmouth%20to%20Cowes%20MCZ&countyCode=&respons,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915531/mcz-yarmouth-cowes-2019.pdf,Mixed_Picture,,18,,,England,,Designated,,,Bouldnor Cliff geological feature; Estuarine rocky habitats; High energy circalittoral rock; High energy infralittoral rock; Intertidal coarse sediment; Intertidal underboulder communities; Littoral chalk communities; Low energy intertidal rock; Moderate energy circalittoral rock; Moderate energy infralittoral rock; Moderate energy intertidal rock; Native oyster (Ostrea edulis); Peat and clay exposures; Sheltered muddy gravels; Subtidal chalk; Subtidal coarse sediment; Subtidal mixed sediments; Subtidal mud,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Maintain in favourable condition; Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition; Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition,N; N; N; N; N; N; N; N; N; N; N; N; N; N; N; N; N; N,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -; -
110,Pagam Harbour ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UKMCZ0013&SiteName=pagham%20&SiteNameDisplay=Pagham+Harbour+MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,http://publications.naturalengland.org.uk/publication/4680895541805056?category=1721481,Degraded/Degrading,,3,,,England,,Designated,,,"Common tern (Sterna hirundo), A193, b; Dark-bellied brent goose (Branta bernicla bernicla), A675, nb; Little tern (Sternula albifrons), A195, b; Ruff (Philomachus pugnax), A151, nb",25/08/1988; 25/08/1988; 25/08/1988; 25/08/1988,-; -; -; -,Y; Y; Y; Y,-; 100%; -; -,-; -; -; -,-; -; -; -,100%; -; 100%; 100%,-; -; -; -,-; -; -; -,-; -; -; -
111,Selsey Bill and Hounds ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineSiteDetail.aspx?SiteCode=UKMCZ0068&SiteName=&SiteNameDisplay=Selsey%20Bill%20and%20the%20Hounds%20MCZ&county,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915676/mcz-selsey-bill-2019.pdf,Mixed_Picture,,9,,,England,,Designated,,,Bracklesham Bay geological feature; High energy infralittoral rock; Low energy intertidal rock; Moderate energy circalittoral rock; Moderate energy infralittoral rock; Peat and clay exposures; Short snouted seahorse (Hippocampus hippocampus); Subtidal mixed sediments; Subtidal sand,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition,N; N; N; N; N; N; N; N; N,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -
112,Studland Bay ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UKMCZ0072&SiteName=studlan&SiteNameDisplay=Studland+Bay+MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915336/mcz-studland-bay-2019.pdf,Mixed_Picture,,4,,,England,,Designated,,,Intertidal coarse sediment; Long snouted seahorse (Hippocampus guttulatus); Seagrass beds; Subtidal sand,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Maintain in favourable condition; Maintain in favourable condition; Recover to favourable condition; Maintain in favourable condition,N; N; N; N,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -,-; -; -; -
113,Purbeck Coast ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UKMCZ0066&SiteName=purbeck&SiteNameDisplay=Purbeck+Coast+MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/915664/mcz-purbeck-coast-2019.pdf,Mixed_Picture,,9,,,England,,Designated,,,Black seabream (Spondyliosoma cantharus); High energy intertidal rock; Intertidal coarse sediment; Maerl beds; Moderate energy intertidal rock; Peacock's tail (Padina pavonica); Stalked jellyfish (Haliclystus spp); Subtidal coarse sediment; Subtidal mixed sediments,31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019; 31/05/2019,Recover to favourable condition; Maintain in favourable condition; Maintain in favourable condition; Recover to favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition,N; N; N; N; N; N; N; N; N,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -
114,The Needles ,MCZ,https://designatedsites.naturalengland.org.uk/Marine/MarineFeatureCondition.aspx?SiteCode=UKMCZ0040&SiteName=needles&SiteNameDisplay=The+Needles+MCZ&countyCode=&responsiblePerson=&SeaArea=&IFCAArea=,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/492458/mcz-the-needles-factsheet.pdf,Mixed_Picture,,13,,,England,,Designated,,,High energy infralittoral rock; Moderate enegy circalittoral rock; Moderate energy infralittoral rock; Native oyster (Ostrea edulis); Peacock's tail (Padina pavonica); Seagrass beds; Sheltered muddy gravels; Stalked jellyfish (Calvadosia campanulata); Subtidal chalk; Subtidal coarse sediment; Subtidal mixed sediments; Subtidal mud; Subtidal sand,29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016; 29/01/2016,Maintain in favourable condition; Maintain in favourable condition; Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Maintain in favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition; Recover to favourable condition,N; N; N; N; N; N; N; N; N; N; N; N; N,-; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -,-; -; -; -; -; -; -; -; -; -; -; -; -
